ra,hd,hr,gl,bf,dec,proper,dist,mag,ci,spect,con
320.26798499999995,203222.0,8160.0,,16    Aqr,-4.560125,,90.9091,5.87,#FFE5CE,G7III:,Aquarius
320.2701,203291.0,8163.0,,9    Equ,7.354503,,200.8032,5.81,#FDC48C,M2III,Equuleus
320.50169999999997,203644.0,8185.0,,,49.388847999999996,,100.9082,5.68,#FFDCBC,K0III,Cygnus
320.52165,203504.0,8173.0,,1    Peg,19.804508,,47.7783,4.08,#FFDCBB,K1III,Pegasus
320.56164,203387.0,8167.0,,32Iot Cap,-16.834542000000003,,60.3136,4.28,#FFE6D0,G8III,Capricornus
320.723385,203562.0,8178.0,,10Bet Equ,6.811139999999999,,101.4199,5.16,#D1DEFE,A3V,Equuleus
320.734395,203525.0,8175.0,,17    Aqr,-9.31933,,224.2152,5.99,#FEC997,M0III,Aquarius
320.75205000000005,203475.0,8172.0,,,-22.669048,,237.5297,5.63,#FDC48E,M0III,Capricornus
320.99508,203803.0,8190.0,,,24.274135,,51.8135,5.7,#EEF0FF,F1IV,Vulpecula
321.03997499999997,203638.0,8183.0,,33    Cap,-20.851869,,73.3676,5.38,#FFD8B4,K0III,Capricornus
