NOMBRE;ESTADO;MASA;DESCUBRIMIENTO;ACTUALIZACION;ESTADO_PUBLICACION;TIPO_DETECCION;RA;DEC;DISTANCIA_ESTRELLA;MASA_ESTRELLA
Kepler-947 b;Confirmed;2.9795;2016;5/12/2016;Announced on a website;Primary Transit;294.366727;42.252678;1188;0.9
Kepler-948 b;Confirmed;2;2016;5/12/2016;Announced on a website;Primary Transit;293.300231;41.523338;884;0.96
Kepler-949 b;Confirmed;1.0205;2016;5/12/2016;Announced on a website;Primary Transit;298.607876;46.453682;572;0.89
Kepler-95 b;Confirmed;0.041;2014;12/18/2015;Published in a refereed paper;Primary Transit;284.4824584;44.3980278;1030.5;1.08
Kepler-950 b;Confirmed;0.039833333;2016;5/12/2016;Announced on a website;Primary Transit;287.956566;41.130329;1489;1.02
Kepler-951 b;Confirmed;0.038666667;2016;5/12/2016;Announced on a website;Primary Transit;287.73756;38.114567;408;0.77
Kepler-952 b;Confirmed;0.0375;2016;5/12/2016;Announced on a website;Primary Transit;285.371949;41.993912;1167;1
Kepler-953 b;Confirmed;0.036333333;2012;5/24/2016;Announced on a professional conference;Primary Transit;288.9708;44.6244;852.6666667;0.94
Kepler-953 c;Confirmed;0.035166667;2016;5/24/2016;Announced on a website;Primary Transit;288.9708;44.6244;538.3333333;0.94
Kepler-954 b;Confirmed;0.034;2016;5/12/2016;Announced on a website;Primary Transit;295.859378;47.93951;224;0.82
Kepler-955 b;Confirmed;0.032833333;2016;5/12/2016;Announced on a website;Primary Transit;288.471458;40.269795;637;0.89
Kepler-956 b;Confirmed;0.031666667;2016;5/12/2016;Announced on a website;Primary Transit;292.530806;49.061707;631;1.1
Kepler-957 b;Confirmed;0.0305;2016;5/12/2016;Announced on a website;Primary Transit;290.156346;48.818996;749;0.81
Kepler-958 b;Confirmed;0.029333333;2016;5/12/2016;Announced on a website;Primary Transit;287.256685;46.066769;467;0.91
Kepler-959 b;Confirmed;0.028166667;2016;5/12/2016;Announced on a website;Primary Transit;292.171168;40.811382;1003;1.6
Kepler-96 b;Confirmed;0.027;2014;11/30/2015;Published in a refereed paper;Primary Transit;297.069625;40.52513891;650.5;1
Kepler-960 b;Confirmed;0.293066667;2016;5/12/2016;Announced on a website;Primary Transit;281.457163;46.746468;298;0.77
Kepler-961 b;Confirmed;0.559133333;2016;5/12/2016;Announced on a website;Primary Transit;282.035496;43.631268;607;0.96
Kepler-962 b;Confirmed;0.8252;2016;5/12/2016;Announced on a website;Primary Transit;295.313145;46.237488;439;0.93
Kepler-963 b;Confirmed;1.091266667;2016;5/12/2016;Announced on a website;Primary Transit;296.752973;45.0411;786;0.91
